Title,Distributor,Release Date,US Sales,World Sales,Runtime,Rating
Star Wars: Episode VII - The Force Awakens,Walt Disney Studios Motion Pictures,2015,936662225,2069521700,2 hr 18 min,PG-13
Avengers: Endgame,Walt Disney Studios Motion Pictures,2019,858373000,2797501328,3 hr 1 min,PG-13
Avatar,Twentieth Century Fox,2009,760507625,2847246203,2 hr 42 min,PG-13
Black Panther,Walt Disney Studios Motion Pictures,2018,700426566,1347597973,2 hr 14 min,NA
Avengers: Infinity War,Walt Disney Studios Motion Pictures,2018,678815482,2048359754,2 hr 29 min,NA
Spider-Man: No Way Home,Sony Pictures Entertainment (SPE),2021,675813257,1544455963,2 hr 28 min,NA
Titanic,Paramount Pictures,1997,659363944,2201647264,3 hr 14 min,PG-13
Jurassic World,Universal Pictures,2015,652385625,1670516444,2 hr 4 min,PG-13
The Avengers,Walt Disney Studios Motion Pictures,2012,623357910,1518815515,2 hr 23 min,PG-13
Star Wars: Episode VIII - The Last Jedi,Walt Disney Studios Motion Pictures,2017,620181382,1332698830,2 hr 32 min,PG-13
Incredibles 2,Walt Disney Studios Motion Pictures,2018,608581744,1243089244,1 hr 58 min,NA
The Lion King,Walt Disney Studios Motion Pictures,2019,543638043,1662899439,1 hr 58 min,PG
The Dark Knight,Warner Bros.,2008,534858444,1005973645,2 hr 32 min,PG-13
Rogue One: A Star Wars Story,Walt Disney Studios Motion Pictures,2016,532177324,1056057720,2 hr 13 min,PG-13
Star Wars: Episode IX - The Rise of Skywalker,Walt Disney Studios Motion Pictures,2019,515202542,1074149279,2 hr 21 min,PG-13
Beauty and the Beast,Walt Disney Studios Motion Pictures,2017,504481165,1273576220,2 hr 9 min,PG
Finding Dory,Walt Disney Studios Motion Pictures,2016,486295561,1028570942,1 hr 37 min,NA
Frozen II,Walt Disney Studios Motion Pictures,2019,477373578,1450026933,1 hr 43 min,PG
Star Wars: Episode I - The Phantom Menace,Twentieth Century Fox,1999,474544677,1027082707,2 hr 16 min,PG
Star Wars: Episode IV - A New Hope,Twentieth Century Fox,1977,460998507,775398007,2 hr 1 min,PG
Avengers: Age of Ultron,Walt Disney Studios Motion Pictures,2015,459005868,1402809540,2 hr 21 min,PG-13
The Dark Knight Rises,Warner Bros.,2012,448139099,1081142612,2 hr 44 min,PG-13
Shrek 2,DreamWorks Distribution,2004,441226247,928760770,1 hr 33 min,PG
E.T. the Extra-Terrestrial,Universal Pictures,1982,435110554,792910554,1 hr 55 min,PG
Toy Story 4,Walt Disney Studios Motion Pictures,2019,434038008,1073394593,1 hr 40 min,G
Captain Marvel,Walt Disney Studios Motion Pictures,2019,426829839,1128462972,2 hr 3 min,PG-13
The Hunger Games: Catching Fire,Lionsgate,2013,424668047,865011746,2 hr 26 min,PG-13
Pirates of the Caribbean: Dead Man's Chest,Walt Disney Studios Motion Pictures,2006,423315812,1066179747,2 hr 31 min,PG-13
The Lion King,Walt Disney Studios Motion Pictures,1994,422783777,1063611805,1 hr 28 min,G
Jurassic World: Fallen Kingdom,Universal Pictures,2018,417719760,1310466296,2 hr 8 min,PG-13
Toy Story 3,Walt Disney Studios Motion Pictures,2010,415004880,1066970811,1 hr 43 min,NA
Wonder Woman,Warner Bros.,2017,412815408,822824522,2 hr 21 min,PG-13
Iron Man 3,Walt Disney Studios Motion Pictures,2013,409013994,1214811252,2 hr 10 min,PG-13
Captain America: Civil War,Walt Disney Studios Motion Pictures,2016,408084349,1153337496,2 hr 27 min,PG-13
The Hunger Games,Lionsgate,2012,408010692,694394724,2 hr 22 min,PG-13
Spider-Man,Sony Pictures Entertainment (SPE),2002,407022860,825025036,2 hr 1 min,PG-13
Jumanji: Welcome to the Jungle,Sony Pictures Entertainment (SPE),2017,404540171,962542945,1 hr 59 min,PG-13
Jurassic Park,Universal Pictures,1993,404214720,1033928303,2 hr 7 min,PG-13
Transformers: Revenge of the Fallen,DreamWorks,2009,402111870,836303693,2 hr 29 min,PG-13
Frozen,Walt Disney Studios Motion Pictures,2013,400953009,1281508100,1 hr 42 min,PG
Spider-Man: Far from Home,Sony Pictures Entertainment (SPE),2019,390532085,1131927996,2 hr 9 min,PG-13
Guardians of the Galaxy Vol. 2,Walt Disney Studios Motion Pictures,2017,389813101,863756051,2 hr 16 min,PG-13
Harry Potter and the Deathly Hallows: Part 2,Warner Bros.,2011,381409310,1342321665,2 hr 10 min,NA
Finding Nemo,Walt Disney Studios Motion Pictures,2003,380843261,940352645,1 hr 40 min,NA
Star Wars: Episode III - Revenge of the Sith,Twentieth Century Fox,2005,380270577,868390560,2 hr 20 min,PG-13
The Lord of the Rings: The Return of the King,New Line Cinema,2003,377845905,1146030912,3 hr 21 min,PG-13
Spider-Man 2,Sony Pictures Entertainment (SPE),2004,373585825,788976453,2 hr 7 min,PG-13
The Passion of the Christ,Newmarket Films,2004,370782930,612054506,2 hr 7 min,R
The Secret Life of Pets,Universal Pictures,2016,368384330,875458631,1 hr 27 min,PG
Despicable Me 2,Universal Pictures,2013,368065385,970766005,1 hr 38 min,PG
The Jungle Book,Walt Disney Studios Motion Pictures,2016,364001123,966554929,1 hr 46 min,PG
Deadpool,Twentieth Century Fox,2016,363070709,782836791,1 hr 48 min,R
Inside Out,Walt Disney Studios Motion Pictures,2015,356921711,858848019,1 hr 35 min,PG
Aladdin,Walt Disney Studios Motion Pictures,2019,355559216,1050693953,2 hr 8 min,PG
Furious 7,Universal Pictures,2015,353007020,1515341399,2 hr 17 min,PG-13
Transformers: Dark of the Moon,DreamWorks,2011,352390543,1123794079,2 hr 34 min,PG-13
American Sniper,Warner Bros.,2014,350126372,547426372,2 hr 13 min,R
The Lord of the Rings: The Two Towers,New Line Cinema,2002,342551365,947495095,2 hr 59 min,PG
Zootopia,Walt Disney Studios Motion Pictures,2016,341268248,1024121104,1 hr 48 min,NA
The Hunger Games: Mockingjay - Part 1,Lionsgate,2014,337135885,755356711,2 hr 3 min,PG-13
Spider-Man 3,Sony Pictures Entertainment (SPE),2007,336530303,894983373,2 hr 19 min,PG-13
Minions,Universal Pictures,2015,336045770,1159444662,1 hr 31 min,PG
Joker,Warner Bros.,2019,335451311,1074419384,2 hr 2 min,R
Aquaman,Warner Bros.,2018,335061807,1148485886,2 hr 23 min,NA
Spider-Man: Homecoming,Sony Pictures Entertainment (SPE),2017,334201140,880166924,2 hr 13 min,PG-13
Alice in Wonderland,Walt Disney Studios Motion Pictures,2010,334191110,1025468216,1 hr 48 min,PG
Guardians of the Galaxy,Walt Disney Studios Motion Pictures,2014,333718600,773350147,2 hr 1 min,PG-13
Forrest Gump,Paramount Pictures,1994,330455270,678226133,2 hr 22 min,PG-13
Batman v Superman: Dawn of Justice,Warner Bros.,2016,330360194,873637528,2 hr 32 min,PG-13
It,Warner Bros.,2017,328828874,701796444,2 hr 15 min,R
Suicide Squad,Warner Bros.,2016,325100054,746846894,2 hr 3 min,PG-13
Deadpool 2,Twentieth Century Fox,2018,324591735,785896609,1 hr 59 min,R
Shrek the Third,DreamWorks,2007,322719944,813367380,1 hr 33 min,PG
Jumanji: The Next Level,Sony Pictures Entertainment (SPE),2019,320314960,800059707,2 hr 3 min,PG-13
Transformers,DreamWorks,2007,319246193,709709780,2 hr 24 min,PG-13
Iron Man,Paramount Pictures,2008,319034126,585796247,2 hr 6 min,PG-13
Harry Potter and the Sorcerer's Stone,Warner Bros.,2001,318087620,1016813075,2 hr 32 min,PG
Indiana Jones and the Kingdom of the Crystal Skull,Paramount Pictures,2008,317101119,790653942,2 hr 2 min,PG-13
The Lord of the Rings: The Fellowship of the Ring,New Line Cinema,2001,315710750,897690072,2 hr 58 min,PG-13
Thor: Ragnarok,Walt Disney Studios Motion Pictures,2017,315058289,853983911,2 hr 10 min,PG-13
Iron Man 2,Paramount Pictures,2010,312433331,623933331,2 hr 4 min,PG-13
Star Wars: Episode II - Attack of the Clones,Twentieth Century Fox,2002,310676740,653779970,2 hr 22 min,PG
Pirates of the Caribbean: At World's End,Walt Disney Studios Motion Pictures,2007,309420425,960996492,2 hr 49 min,PG-13
Star Wars: Episode VI - Return of the Jedi,Twentieth Century Fox,1983,309306177,475106177,2 hr 11 min,PG
Independence Day,Twentieth Century Fox,1996,306169268,817400891,2 hr 25 min,PG-13
Pirates of the Caribbean: The Curse of the Black Pearl,Walt Disney Studios Motion Pictures,2003,305413918,654264015,2 hr 23 min,PG-13
Skyfall,Sony Pictures Entertainment (SPE),2012,304360277,1108569499,2 hr 23 min,PG-13
The Hobbit: An Unexpected Journey,Warner Bros.,2012,303003568,1017003568,2 hr 49 min,NA
Harry Potter and the Half-Blood Prince,Warner Bros.,2009,302305431,934454096,2 hr 33 min,PG
The Twilight Saga: Eclipse,Summit Entertainment,2010,300531751,698491347,2 hr 4 min,PG-13
The Twilight Saga: New Moon,Summit Entertainment,2009,297816253,711025481,2 hr 10 min,PG-13
Harry Potter and the Deathly Hallows: Part 1,Warner Bros.,2010,296347721,977043483,2 hr 26 min,NA
The Sixth Sense,Walt Disney Studios Motion Pictures,1999,293506292,672806432,1 hr 47 min,PG-13
Up,Walt Disney Studios Motion Pictures,2009,293004164,735099102,1 hr 36 min,PG
Star Wars: Episode V - The Empire Strikes Back,Twentieth Century Fox,1980,292753960,538375067,2 hr 4 min,PG
Inception,Warner Bros.,2010,292576195,836836967,2 hr 28 min,PG-13
Harry Potter and the Order of the Phoenix,Warner Bros.,2007,292353413,942172396,2 hr 18 min,PG-13
The Twilight Saga: Breaking Dawn - Part 2,Lionsgate,2012,292324737,829747654,1 hr 55 min,PG-13
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Walt Disney Studios Motion Pictures,2005,291710957,745013115,2 hr 23 min,PG
Man of Steel,Warner Bros.,2013,291045518,668045518,2 hr 23 min,PG-13
"Monsters, Inc.",Walt Disney Studios Motion Pictures,2001,290642256,579707738,1 hr 32 min,G
Harry Potter and the Goblet of Fire,Warner Bros.,2005,290417905,896678241,2 hr 37 min,PG-13
Home Alone,Twentieth Century Fox,1990,285761243,476684675,1 hr 43 min,NA
The Hunger Games: Mockingjay - Part 2,Lionsgate,2015,281723902,658344137,2 hr 17 min,PG-13
The Matrix Reloaded,Warner Bros.,2003,281576461,741847937,2 hr 18 min,R
The Twilight Saga: Breaking Dawn - Part 1,Summit Entertainment,2011,281287133,712205856,1 hr 57 min,PG-13
Meet the Fockers,Universal Pictures,2004,279261160,522657936,1 hr 55 min,PG-13
The Hangover,Warner Bros.,2009,277322503,469310836,1 hr 40 min,R
Gravity,Warner Bros.,2013,274092705,723192705,1 hr 31 min,PG-13
The Grinch,Universal Pictures,2018,271094731,512568819,1 hr 25 min,PG
Sing,Universal Pictures,2016,270448425,634208384,1 hr 48 min,PG
Monsters University,Walt Disney Studios Motion Pictures,2013,268492764,743559645,1 hr 44 min,NA
Shrek,DreamWorks Distribution,2001,267665011,487853320,1 hr 30 min,PG
Despicable Me 3,Universal Pictures,2017,264624300,1034800131,1 hr 29 min,PG
Harry Potter and the Chamber of Secrets,Warner Bros.,2002,262450136,879602366,2 hr 41 min,PG
The Amazing Spider-Man,Sony Pictures Entertainment (SPE),2012,262030663,757930663,2 hr 16 min,PG-13
The Incredibles,Walt Disney Studios Motion Pictures,2004,261441092,631607053,1 hr 55 min,NA
Jaws,Universal Pictures,1975,260758300,471411300,2 hr 4 min,NA
How the Grinch Stole Christmas,Universal Pictures,2000,260465005,345573032,1 hr 44 min,PG
Captain America: The Winter Soldier,Walt Disney Studios Motion Pictures,2014,259766572,714421503,2 hr 16 min,PG-13
The Hobbit: The Desolation of Smaug,Warner Bros.,2013,258366855,959007513,2 hr 41 min,NA
The Lego Movie,Warner Bros.,2014,257760692,468060692,1 hr 40 min,PG
Star Trek,Paramount Pictures,2009,257730019,385680446,2 hr 7 min,PG-13
I Am Legend,Warner Bros.,2007,256393010,585410052,1 hr 41 min,PG-13
The Blind Side,Warner Bros.,2009,255959475,309208309,2 hr 9 min,PG-13
The Hobbit: The Battle of the Five Armies,Warner Bros.,2014,255119788,962182865,2 hr 24 min,NA
The Hangover Part II,Warner Bros.,2011,254464305,586764305,1 hr 42 min,R
Despicable Me,Universal Pictures,2010,251513985,543113985,1 hr 35 min,PG
Batman,Warner Bros.,1989,251348343,411508343,2 hr 6 min,NA
Night at the Museum,Twentieth Century Fox,2006,250863268,574481229,1 hr 48 min,NA
Men in Black,Sony Pictures Entertainment (SPE),1997,250690539,589390539,1 hr 38 min,PG-13
Harry Potter and the Prisoner of Azkaban,Warner Bros.,2004,249975996,797361618,2 hr 22 min,PG
Moana,Walt Disney Studios Motion Pictures,2016,248757044,644136488,1 hr 47 min,NA
Indiana Jones and the Raiders of the Lost Ark,Paramount Pictures,1981,248159971,389925971,1 hr 55 min,PG
Toy Story 2,Walt Disney Studios Motion Pictures,1999,245852179,497375381,1 hr 32 min,NA
Transformers: Age of Extinction,Paramount Pictures,2014,245439076,1104054072,2 hr 45 min,PG-13
Cars,Walt Disney Studios Motion Pictures,2006,244082982,461991867,1 hr 57 min,NA
Ghostbusters,Columbia Pictures,1984,243578797,296578797,1 hr 45 min,NA
Bruce Almighty,Universal Pictures,2003,242829261,484592874,1 hr 41 min,PG-13
Twister,Warner Bros.,1996,241721524,494471524,1 hr 53 min,NA
My Big Fat Greek Wedding,IFC Films,2002,241438208,368744044,1 hr 35 min,PG
Maleficent,Walt Disney Studios Motion Pictures,2014,241410378,758411779,1 hr 37 min,PG
Pirates of the Caribbean: On Stranger Tides,Walt Disney Studios Motion Pictures,2011,241071802,1045713802,2 hr 17 min,PG-13
Shrek Forever After,DreamWorks,2010,238736787,752600867,1 hr 33 min,PG
Fast & Furious 6,Universal Pictures,2013,238679850,788680968,2 hr 10 min,PG-13
Brave,Walt Disney Studios Motion Pictures,2012,237283207,538983207,1 hr 33 min,PG
Oz the Great and Powerful,Walt Disney Studios Motion Pictures,2013,234911825,493311825,2 hr 10 min,PG
X-Men: The Last Stand,Twentieth Century Fox,2006,234362462,460435291,1 hr 44 min,PG-13
War of the Worlds,Paramount Pictures,2005,234280354,603873119,1 hr 56 min,PG-13
Fantastic Beasts and Where to Find Them,Warner Bros.,2016,234037575,814044001,2 hr 12 min,PG-13
X-Men: Days of Future Past,Twentieth Century Fox,2014,233921534,746045700,2 hr 12 min,PG-13
Cast Away,Twentieth Century Fox,2000,233632142,429632142,2 hr 23 min,PG-13
The Exorcist,Warner Bros.,1973,232906145,441306145,2 hr 2 min,NA
Doctor Strange,Walt Disney Studios Motion Pictures,2016,232641920,677796076,1 hr 55 min,PG-13
The Lost World: Jurassic Park,Universal Pictures,1997,229086679,618638999,2 hr 9 min,PG-13
Justice League,Warner Bros.,2017,229024295,657926987,2 hr,NA
Star Trek Into Darkness,Paramount Pictures,2013,228778661,467365246,2 hr 12 min,PG-13
The Martian,Twentieth Century Fox,2015,228433663,630162448,2 hr 24 min,PG-13
Signs,Walt Disney Studios Motion Pictures,2002,227966634,408247917,1 hr 46 min,PG-13
Hancock,Sony Pictures Entertainment (SPE),2008,227946274,629443428,1 hr 32 min,PG-13
The Bourne Ultimatum,Universal Pictures,2007,227471070,444100035,1 hr 55 min,PG-13
Logan,Twentieth Century Fox,2017,226277068,619179950,2 hr 17 min,R
Rush Hour 2,New Line Cinema,2001,226164286,347325802,1 hr 30 min,PG-13
The Fate of the Furious,Universal Pictures,2017,226008385,1236005118,2 hr 16 min,PG-13
Shang-Chi and the Legend of the Ten Rings,Walt Disney Studios Motion Pictures,2021,224543292,432233010,2 hr 12 min,NA
WALL·E,Walt Disney Studios Motion Pictures,2008,223808164,521311890,1 hr 38 min,NA
Big Hero 6,Walt Disney Studios Motion Pictures,2014,222527828,657869686,1 hr 42 min,PG
Mission: Impossible - Fallout,Paramount Pictures,2018,220159104,791657398,2 hr 27 min,PG-13
National Treasure: Book of Secrets,Walt Disney Studios Motion Pictures,2007,219964115,459242249,2 hr 4 min,NA
Alvin and the Chipmunks: The Squeakquel,Twentieth Century Fox,2009,219614612,443140005,1 hr 28 min,PG
Mrs. Doubtfire,Twentieth Century Fox,1993,219195243,441286195,2 hr 5 min,PG-13
Beauty and the Beast,Walt Disney Studios Motion Pictures,1991,218967620,424967620,1 hr 24 min,NA
Ted,Universal Pictures,2012,218815487,549368315,1 hr 46 min,R
King Kong,Universal Pictures,2005,218080025,556906378,3 hr 7 min,PG-13
Ghost,Paramount Pictures,1990,217631306,505703557,2 hr 7 min,NA
How to Train Your Dragon,DreamWorks,2010,217581231,494879471,1 hr 38 min,PG
The Da Vinci Code,Sony Pictures Entertainment (SPE),2006,217536138,760006945,2 hr 29 min,PG-13
Aladdin,Walt Disney Studios Motion Pictures,1992,217350219,504050219,1 hr 30 min,NA
Alvin and the Chipmunks,Twentieth Century Fox,2007,217326974,365352546,1 hr 32 min,PG
Saving Private Ryan,DreamWorks Distribution,1998,217049603,482349603,2 hr 49 min,R
Bohemian Rhapsody,Twentieth Century Fox,2018,216668042,910809311,2 hr 14 min,PG-13
Ant-Man and the Wasp,Walt Disney Studios Motion Pictures,2018,216648740,622674139,1 hr 58 min,NA
Madagascar 3: Europe's Most Wanted,DreamWorks,2012,216391482,746921274,1 hr 35 min,PG
Kung Fu Panda,DreamWorks,2008,215434591,631746197,1 hr 32 min,PG
Mission: Impossible II,Paramount Pictures,2000,215409889,546388108,2 hr 3 min,PG-13
A Star Is Born,Warner Bros.,2018,215288866,436188866,2 hr 16 min,R
X2: X-Men United,Twentieth Century Fox,2003,214949694,407711549,2 hr 14 min,PG-13
The Lorax,Universal Pictures,2012,214030500,348840316,1 hr 26 min,PG
Solo: A Star Wars Story,Walt Disney Studios Motion Pictures,2018,213767512,392924807,2 hr 15 min,PG-13
Venom,Sony Pictures Entertainment (SPE),2018,213515506,856085151,1 hr 52 min,PG-13
Austin Powers in Goldmember,New Line Cinema,2002,213307889,296938801,1 hr 34 min,PG-13
Venom: Let There Be Carnage,Sony Pictures Entertainment (SPE),2021,212638437,501138437,1 hr 37 min,NA
It Chapter Two,Warner Bros.,2019,211593228,473093228,2 hr 49 min,R
Back to the Future,Universal Pictures,1985,211406762,381906762,1 hr 56 min,NA
300,Warner Bros.,2006,210614939,456068181,1 hr 57 min,R
Coco,Walt Disney Studios Motion Pictures,2017,210460015,807817888,1 hr 45 min,NA
Fast Five,Universal Pictures,2011,209837675,626137675,2 hr 10 min,PG-13
Mission: Impossible - Ghost Protocol,Paramount Pictures,2011,209397903,694713380,2 hr 12 min,PG-13
Wedding Crashers,New Line Cinema,2005,209255921,288467645,1 hr 59 min,R
Sherlock Holmes,Warner Bros.,2009,209028679,524028679,2 hr 8 min,PG-13
Dawn of the Planet of the Apes,Twentieth Century Fox,2014,208545589,710644566,2 hr 10 min,PG-13
Batman Begins,Warner Bros.,2005,206852432,373661946,2 hr 20 min,PG-13
Charlie and the Chocolate Factory,Warner Bros.,2005,206459076,474968763,1 hr 55 min,PG
Ratatouille,Walt Disney Studios Motion Pictures,2007,206445654,623726085,1 hr 51 min,G
Thor: The Dark World,Walt Disney Studios Motion Pictures,2013,206362140,644783140,1 hr 52 min,PG-13
Bad Boys for Life,Sony Pictures Entertainment (SPE),2020,206305244,426505244,2 hr 4 min,R
Austin Powers: The Spy Who Shagged Me,New Line Cinema,1999,206040086,312016928,1 hr 35 min,PG-13
Terminator 2: Judgment Day,TriStar Pictures,1991,205881154,520881154,2 hr 17 min,R
The Amazing Spider-Man 2,Sony Pictures Entertainment (SPE),2014,202853933,708982323,2 hr 22 min,NA
World War Z,Paramount Pictures,2013,202807711,540455876,1 hr 56 min,PG-13
The Mummy Returns,Universal Pictures,2001,202019785,443280904,2 hr 10 min,PG-13
Armageddon,Walt Disney Studios Motion Pictures,1998,201578182,553709788,2 hr 31 min,PG-13
Cinderella,Walt Disney Studios Motion Pictures,2015,201151353,542358331,1 hr 45 min,PG
