Title,Distributor,Release Date,US Sales,World Sales,Runtime,Rating
In the Line of Fire,Columbia Pictures,1993,102314823,176997168,2 hr 8 min,R
Annabelle: Creation,Warner Bros.,2017,102092201,306515884,1 hr 49 min,R
The Equalizer 2,Sony Pictures Entertainment (SPE),2018,102084362,190400157,2 hr 1 min,R
Bad Grandpa,Paramount Pictures,2013,102003019,151826547,1 hr 32 min,R
Pacific Rim,Warner Bros.,2013,101802906,411002906,2 hr 11 min,PG-13
Journey to the Center of the Earth,Warner Bros.,2008,101704370,244232688,1 hr 33 min,PG
Gone in 60 Seconds,Walt Disney Studios Motion Pictures,2000,101648571,237202299,1 hr 58 min,PG-13
Maverick,Warner Bros.,1994,101631272,183031272,2 hr 7 min,NA
Sleeping with the Enemy,Twentieth Century Fox,1991,101599005,174999005,1 hr 39 min,R
The Equalizer,Sony Pictures Entertainment (SPE),2014,101530738,192330738,2 hr 12 min,R
This Is the End,Sony Pictures Entertainment (SPE),2013,101470202,126041322,1 hr 47 min,R
Eagle Eye,DreamWorks,2008,101440743,178767383,1 hr 58 min,PG-13
The Prince of Egypt,DreamWorks Distribution,1998,101413188,218613188,1 hr 39 min,PG
Scream 2,Dimension Films,1997,101363301,172363301,2 hr,R
Eraser,Warner Bros.,1996,101295562,242295562,1 hr 55 min,R
Noah,Paramount Pictures,2014,101200044,359200044,2 hr 18 min,PG-13
Unforgiven,Warner Bros.,1992,101157447,159157447,2 hr 10 min,NA
The Cat in the Hat,Universal Pictures,2003,101149285,133960541,1 hr 22 min,PG
Con Air,Walt Disney Studios Motion Pictures,1997,101117573,224012234,1 hr 55 min,R
Sleepy Hollow,Paramount Pictures,1999,101071502,206071502,1 hr 45 min,R
Rampage,Warner Bros.,2018,101028233,428028233,1 hr 47 min,PG-13
Collateral,DreamWorks Distribution,2004,101005703,220239925,2 hr,R
Contact,Warner Bros.,1997,100920329,171120329,2 hr 30 min,PG
Charlie's Angels: Full Throttle,Sony Pictures Entertainment (SPE),2003,100830111,259175788,1 hr 46 min,PG-13
The Pelican Brief,Warner Bros.,1993,100768056,195268056,2 hr 21 min,NA
The Addams Family,United Artists Releasing,2019,100723831,203783845,1 hr 26 min,PG
Vanilla Sky,Paramount Pictures,2001,100618344,203388341,2 hr 16 min,R
Godzilla vs. Kong,Warner Bros.,2021,100563133,467863133,1 hr 53 min,NA
Arrival,Paramount Pictures,2016,100546139,203388186,1 hr 56 min,PG-13
Due Date,Warner Bros.,2010,100539043,211780824,1 hr 35 min,R
Jumanji,Sony Pictures Entertainment (SPE),1995,100499940,262821940,1 hr 44 min,PG
The Rugrats Movie,Paramount Pictures,1998,100494675,140894675,1 hr 19 min,NA
Million Dollar Baby,Warner Bros.,2004,100492203,216763646,2 hr 12 min,PG-13
A Wrinkle in Time,Walt Disney Studios Motion Pictures,2018,100478608,132675864,1 hr 49 min,NA
Step Brothers,Sony Pictures Entertainment (SPE),2008,100468793,128108211,1 hr 38 min,R
Evan Almighty,Universal Pictures,2007,100462298,174440724,1 hr 36 min,PG
Fifty Shades Freed,Universal Pictures,2018,100407760,371987838,1 hr 45 min,R
Casper,Universal Pictures,1995,100328194,287928194,1 hr 40 min,NA
Shakespeare in Love,Miramax,1998,100317794,289317794,2 hr 3 min,R
Bad Teacher,Sony Pictures Entertainment (SPE),2011,100292856,216197492,1 hr 32 min,R
Yogi Bear,Warner Bros.,2010,100246011,203509374,1 hr 21 min,PG
Cowboys & Aliens,Universal Pictures,2011,100240551,174822325,1 hr 59 min,PG-13
Kingsman: The Golden Circle,Twentieth Century Fox,2017,100234838,410902662,2 hr 21 min,R
Edge of Tomorrow,Warner Bros.,2014,100206256,370541256,1 hr 53 min,PG-13
The Hunchback of Notre Dame,Walt Disney Studios Motion Pictures,1996,100138851,325338851,1 hr 31 min,NA
Se7en,New Line Cinema,1995,100125643,327333559,2 hr 7 min,R
You Don't Mess with the Zohan,Sony Pictures Entertainment (SPE),2008,100018837,204313400,1 hr 53 min,PG-13
Passengers,Sony Pictures Entertainment (SPE),2016,100014699,303144152,1 hr 56 min,PG-13
Die Hard with a Vengeance,Twentieth Century Fox,1995,100012499,366101666,2 hr 8 min,R
Christopher Robin,Walt Disney Studios Motion Pictures,2018,99215042,197744377,1 hr 44 min,PG
Hercules,Walt Disney Studios Motion Pictures,1997,99112101,252712101,1 hr 33 min,NA
Olympus Has Fallen,FilmDistrict,2013,98925640,170270201,1 hr 59 min,R
The Green Hornet,Sony Pictures Entertainment (SPE),2011,98780042,227817248,1 hr 59 min,PG-13
Date Night,Twentieth Century Fox,2010,98711404,152263880,1 hr 28 min,PG-13
Meet the Robinsons,Walt Disney Studios Motion Pictures,2007,97822171,169333034,1 hr 35 min,NA
Yes Man,Warner Bros.,2008,97690976,223241637,1 hr 44 min,PG-13
Sausage Party,Sony Pictures Entertainment (SPE),2016,97685686,140705322,1 hr 29 min,R
Inspector Gadget,Walt Disney Studios Motion Pictures,1999,97403112,134403112,1 hr 18 min,PG
Public Enemies,Universal Pictures,2009,97104620,214104620,2 hr 20 min,R
The Social Network,Sony Pictures Entertainment (SPE),2010,96962694,224920375,2 hr,PG-13
Schindler's List,Universal Pictures,1993,96898818,322161245,3 hr 15 min,R
Downton Abbey,Focus Features,2019,96854135,237860050,2 hr 2 min,PG
The Others,Miramax,2001,96522687,209947037,1 hr 41 min,PG-13
Legally Blonde,Metro-Goldwyn-Mayer (MGM),2001,96520674,141774679,1 hr 36 min,NA
Panic Room,Sony Pictures Entertainment (SPE),2002,96397334,197079546,1 hr 52 min,R
Rocketman,Paramount Pictures,2019,96368160,195320400,2 hr 1 min,R
Zero Dark Thirty,Sony Pictures Entertainment (SPE),2012,95720716,132820716,2 hr 37 min,R
Norbit,DreamWorks,2007,95673607,159814490,1 hr 43 min,PG-13
Cold Mountain,Miramax,2003,95636509,173013509,2 hr 34 min,R
Sex and the City 2,Warner Bros.,2010,95347692,290745055,2 hr 26 min,R
Michael,New Line Cinema,1996,95318203,119718203,1 hr 45 min,NA
The Princess Diaries 2: Royal Engagement,Walt Disney Studios Motion Pictures,2004,95170481,134734481,1 hr 53 min,NA
42,Warner Bros.,2013,95020213,97470701,2 hr 8 min,PG-13
Unbreakable,Walt Disney Studios Motion Pictures,2000,95011339,248118121,1 hr 46 min,PG-13
The Book of Eli,Warner Bros.,2010,94835059,157107755,1 hr 58 min,R
"10,000 BC",Warner Bros.,2008,94784201,269784201,1 hr 49 min,PG-13
Beverly Hills Chihuahua,Walt Disney Studios Motion Pictures,2008,94514402,149292488,1 hr 31 min,NA
Saturday Night Fever,Paramount Pictures,1977,94213184,237113184,1 hr 58 min,NA
Julie & Julia,Sony Pictures Entertainment (SPE),2009,94125426,129540522,2 hr 3 min,PG-13
The Mask of Zorro,Sony Pictures Entertainment (SPE),1998,94095523,250288523,2 hr 16 min,PG-13
Maid in Manhattan,Revolution Studios,2002,94011225,154906693,1 hr 45 min,PG-13
He's Just Not That Into You,Warner Bros.,2009,93953653,178866158,2 hr 9 min,NA
Master and Commander: The Far Side of the World,Twentieth Century Fox,2003,93927920,211622535,2 hr 18 min,PG-13
Flight,Paramount Pictures,2012,93772375,161772375,2 hr 18 min,R
The Fighter,Paramount Pictures,2010,93617009,129190869,1 hr 56 min,R
America's Sweethearts,Revolution Studios,2001,93607673,138307673,1 hr 42 min,PG-13
Lady and the Tramp,Walt Disney Studios Motion Pictures,1955,93602326,93933394,1 hr 16 min,NA
The Bucket List,Warner Bros.,2007,93466502,175372502,1 hr 37 min,PG-13
Tomorrowland,Walt Disney Studios Motion Pictures,2015,93436322,209035668,2 hr 10 min,PG
The Magnificent Seven,Sony Pictures Entertainment (SPE),2016,93432655,162360636,2 hr 12 min,PG-13
Cats & Dogs,Warner Bros.,2001,93385515,200687492,1 hr 27 min,PG
Two Weeks Notice,Warner Bros.,2002,93354851,199043471,1 hr 41 min,PG-13
Red Dragon,Universal Pictures,2002,93149898,209196298,2 hr 4 min,R
Elysium,TriStar Pictures,2013,93050117,286140700,1 hr 49 min,R
Flubber,Walt Disney Studios Motion Pictures,1997,92977226,177977226,1 hr 33 min,NA
Encanto,Walt Disney Studios Motion Pictures,2021,92661715,216222015,1 hr 42 min,NA
The Town,Warner Bros.,2010,92186262,154026136,2 hr 5 min,R
Non-Stop,Universal Pictures,2014,92168600,222809600,1 hr 46 min,PG-13
The Client,Warner Bros.,1994,92115211,117615211,1 hr 59 min,NA
Blade Runner 2049,Warner Bros.,2017,92054159,259334548,2 hr 44 min,R
John Wick: Chapter 2,Lionsgate,2017,92029184,171547802,2 hr 2 min,NA
Star Trek: First Contact,Paramount Pictures,1996,92027888,146027888,1 hr 51 min,NA
Halloween Kills,Universal Pictures,2021,92002155,131647155,1 hr 45 min,R
Think Like a Man,Screen Gems,2012,91547205,96070507,2 hr 3 min,PG-13
Kindergarten Cop,Universal Pictures,1990,91457688,201957688,1 hr 51 min,NA
Heaven Is for Real,TriStar Pictures,2014,91443253,101982712,1 hr 39 min,PG
The Haunting,DreamWorks Distribution,1999,91411151,177311151,1 hr 53 min,PG-13
Crimson Tide,Walt Disney Studios Motion Pictures,1995,91387195,157387195,1 hr 56 min,NA
Ride Along 2,Universal Pictures,2016,91221830,124608438,1 hr 42 min,PG-13
Stepmom,Sony Pictures Entertainment (SPE),1998,91137662,159710793,2 hr 5 min,PG-13
The Imitation Game,The Weinstein Company,2014,91125683,233555708,1 hr 54 min,NA
Save the Last Dance,Paramount Pictures,2001,91057006,131706809,1 hr 52 min,NA
The Scorpion King,Universal Pictures,2002,91047077,180630907,1 hr 32 min,PG-13
Prince of Persia: The Sands of Time,Walt Disney Studios Motion Pictures,2010,90759676,336365676,1 hr 56 min,PG-13
Antz,DreamWorks Distribution,1998,90757863,171757863,1 hr 23 min,PG
Scary Movie 4,Dimension Films,2006,90710620,178262620,1 hr 23 min,PG-13
The Game Plan,Walt Disney Studios Motion Pictures,2007,90648202,147880543,1 hr 50 min,NA
"Me, Myself & Irene",Twentieth Century Fox,2000,90570999,149270999,1 hr 56 min,R
High School Musical 3: Senior Year,Walt Disney Studios Motion Pictures,2008,90559416,252909177,1 hr 52 min,G
Madea Goes to Jail,Lionsgate,2009,90508336,90508336,1 hr 43 min,NA
Space Cowboys,Warner Bros.,2000,90464773,128884132,2 hr 10 min,PG-13
Space Jam,Warner Bros.,1996,90418342,230418342,1 hr 28 min,NA
Get Hard,Warner Bros.,2015,90411453,111711453,1 hr 40 min,R
RED,Summit Entertainment,2010,90380162,199006387,1 hr 51 min,PG-13
Planes,Walt Disney Studios Motion Pictures,2013,90288712,239258712,1 hr 31 min,PG
"Legally Blonde 2: Red, White & Blonde",Metro-Goldwyn-Mayer (MGM),2003,90186328,124914842,1 hr 35 min,PG-13
Mystic River,Warner Bros.,2003,90135191,156595191,2 hr 18 min,R
Terminator Genisys,Paramount Pictures,2015,89760956,440603537,2 hr 6 min,PG-13
Flightplan,Walt Disney Studios Motion Pictures,2005,89707299,223387299,1 hr 38 min,NA
The Emperor's New Groove,Walt Disney Studios Motion Pictures,2000,89636687,169661687,1 hr 18 min,NA
The Lone Ranger,Walt Disney Studios Motion Pictures,2013,89302115,260502115,2 hr 30 min,PG-13
Taken 3,Twentieth Century Fox,2014,89256424,326479141,1 hr 48 min,PG-13
Don't Breathe,Screen Gems,2016,89217875,157761002,1 hr 28 min,R
Scream 3,Dimension Films,2000,89143175,161834276,1 hr 56 min,R
Oblivion,Universal Pictures,2013,89107235,286168572,2 hr 4 min,PG-13
The Ugly Truth,Sony Pictures Entertainment (SPE),2009,88915214,321682600,1 hr 36 min,R
Percy Jackson & the Olympians: The Lightning Thief,Twentieth Century Fox,2010,88768303,226497209,1 hr 58 min,PG
Failure to Launch,Paramount Pictures,2006,88715192,130224158,1 hr 37 min,PG-13
The Muppets,Walt Disney Studios Motion Pictures,2011,88631237,165184237,2 hr,PG
Inside Man,Universal Pictures,2006,88513495,186003591,2 hr 9 min,R
Back to the Future Part III,Universal Pictures,1990,88277583,245077583,1 hr 58 min,NA
Waterworld,Universal Pictures,1995,88246220,264218220,2 hr 15 min,PG-13
Starsky & Hutch,Warner Bros.,2004,88237754,170268750,1 hr 41 min,PG-13
Along Came Polly,Universal Pictures,2004,88097164,178311729,1 hr 30 min,PG-13
The Hand that Rocks the Cradle,Walt Disney Studios Motion Pictures,1992,88036683,88036683,1 hr 50 min,NA
Entrapment,Twentieth Century Fox,1999,87704396,212404396,1 hr 53 min,PG-13
Peter Pan,Walt Disney Studios Motion Pictures,1953,87404651,87404651,1 hr 17 min,NA
Pineapple Express,Sony Pictures Entertainment (SPE),2008,87341380,101624843,1 hr 51 min,R
Miss Peregrine's Home for Peculiar Children,Twentieth Century Fox,2016,87242834,296482446,2 hr 7 min,PG-13
Sisters,Universal Pictures,2015,87044645,105011053,1 hr 58 min,R
Saw II,Lionsgate,2005,87039965,147748505,1 hr 33 min,R
The Naked Gun 2½: The Smell of Fear,Paramount Pictures,1991,86930411,86930411,1 hr 25 min,NA
The Campaign,Warner Bros.,2012,86907746,104907746,1 hr 25 min,NA
The Accountant,Warner Bros.,2016,86260045,155160045,2 hr 8 min,R
Dumb and Dumber To,Universal Pictures,2014,86208010,169837010,1 hr 49 min,PG-13
Cruella,Walt Disney Studios Motion Pictures,2021,86103234,233274812,2 hr 14 min,NA
The Emoji Movie,Sony Pictures Entertainment (SPE),2017,86089513,217776646,1 hr 26 min,PG
Mean Girls,Paramount Pictures,2004,86058055,130126277,1 hr 37 min,PG-13
Annie,Sony Pictures Entertainment (SPE),2014,85911262,136853506,1 hr 58 min,PG
Alvin and the Chipmunks: The Road Chip,Twentieth Century Fox,2015,85886987,234798636,1 hr 32 min,NA
Spy Kids 2: Island of Lost Dreams,Dimension Films,2002,85846429,119723358,1 hr 40 min,PG
Alita: Battle Angel,Twentieth Century Fox,2019,85838210,404980543,2 hr 2 min,PG-13
Fury,Sony Pictures Entertainment (SPE),2014,85817906,211822697,2 hr 14 min,R
Pokémon: The First Movie - Mewtwo Strikes Back,Warner Bros.,1998,85744662,163644662,1 hr 36 min,NA
Real Steel,Walt Disney Studios Motion Pictures,2011,85468508,299268508,2 hr 7 min,NA
The SpongeBob SquarePants Movie,Paramount Pictures,2004,85417988,141067127,1 hr 27 min,PG
Power Rangers,Lionsgate,2017,85364450,142337240,2 hr 4 min,PG-13
Stripes,Columbia Pictures,1981,85297000,85297000,1 hr 46 min,NA
Anchorman: The Legend of Ron Burgundy,DreamWorks Distribution,2004,85288303,90709367,1 hr 34 min,PG-13
Aliens,Twentieth Century Fox,1986,85160248,131060248,2 hr 17 min,NA
Open Season,Sony Pictures Entertainment (SPE),2006,85105259,200811689,1 hr 26 min,PG
Green Book,Universal Pictures,2018,85080171,321752656,2 hr 10 min,PG-13
The Expendables 2,Lionsgate,2012,85028192,314975955,1 hr 43 min,R
Dangerous Minds,Walt Disney Studios Motion Pictures,1995,84919401,179519401,1 hr 39 min,NA
Paranormal Activity 2,Paramount Pictures,2010,84752907,177512032,1 hr 31 min,R
Tammy,Warner Bros.,2014,84525432,100375432,1 hr 37 min,R
The Santa Clause 3: The Escape Clause,Walt Disney Studios Motion Pictures,2006,84500122,110768122,1 hr 37 min,NA
Ferdinand,Twentieth Century Fox,2017,84410380,296069199,1 hr 48 min,PG
"Crazy, Stupid, Love.",Warner Bros.,2011,84351197,145051197,1 hr 58 min,PG-13
Annabelle,Warner Bros.,2014,84273813,257579282,1 hr 39 min,R
Scooby-Doo 2: Monsters Unleashed,Warner Bros.,2004,84216833,181216833,1 hr 33 min,NA
Birds of Prey,Warner Bros.,2020,84158461,201858461,1 hr 49 min,R
Atlantis: The Lost Empire,Walt Disney Studios Motion Pictures,2001,84056472,186053725,1 hr 35 min,PG
Cliffhanger,TriStar Pictures,1993,84049211,255000211,1 hr 53 min,R
The Other Woman,Twentieth Century Fox,2014,83911193,196710396,1 hr 49 min,PG-13
The X Files,Twentieth Century Fox,1998,83898313,189176423,2 hr 1 min,NA
Penguins of Madagascar,Twentieth Century Fox,2014,83850911,373515621,1 hr 32 min,PG
Die Hard,Twentieth Century Fox,1988,83844093,141603197,2 hr 12 min,NA
Up in the Air,Paramount Pictures,2009,83823381,166842739,1 hr 49 min,R
Wrath of the Titans,Warner Bros.,2012,83670083,301970083,1 hr 39 min,PG-13
Insidious: Chapter 2,FilmDistrict,2013,83586447,161919318,1 hr 46 min,PG-13
Under Siege,Warner Bros.,1992,83563139,156563139,1 hr 43 min,NA
Battle Los Angeles,Sony Pictures Entertainment (SPE),2011,83552429,211819354,1 hr 56 min,PG-13
Immortals,Relativity Media,2011,83504017,226904017,1 hr 50 min,R
I Can Only Imagine,Roadside Attractions,2018,83482352,86086881,1 hr 50 min,PG
Apocalypse Now,Metro-Goldwyn-Mayer (MGM),1979,83471511,92158064,2 hr 27 min,NA
Patriot Games,Paramount Pictures,1992,83351587,178051587,1 hr 57 min,R
Saving Mr. Banks,Walt Disney Studios Motion Pictures,2013,83301580,117867984,2 hr 5 min,PG-13
Smallfoot,Warner Bros.,2018,83240103,214040103,1 hr 36 min,NA
Good Boys,Universal Pictures,2019,83140306,111037232,1 hr 30 min,R
Valkyrie,United Artists,2008,83077833,201545517,2 hr 1 min,PG-13
Brokeback Mountain,Focus Features,2005,83043761,178062759,2 hr 14 min,R
Turbo,Twentieth Century Fox,2013,83028128,282570682,1 hr 36 min,PG
Disclosure,Warner Bros.,1994,83015089,214015089,2 hr 8 min,R
Charlotte's Web,Paramount Pictures,2006,82985708,148963822,1 hr 37 min,G
Monster-in-Law,New Line Cinema,2005,82931301,155457327,1 hr 41 min,PG-13
Are We There Yet?,Revolution Studios,2005,82674398,97918663,1 hr 35 min,PG
Freddy vs. Jason,New Line Cinema,2003,82622655,116632628,1 hr 37 min,R
Star Trek: The Motion Picture,Paramount Pictures,1979,82604699,82604699,2 hr 12 min,G
The Descendants,Fox Searchlight Pictures,2011,82584160,177243185,1 hr 55 min,NA
Cheaper by the Dozen 2,Twentieth Century Fox,2005,82571173,130154568,1 hr 34 min,NA
Mr. Holland's Opus,Walt Disney Studios Motion Pictures,1995,82569971,106269971,2 hr 23 min,NA
Bram Stoker's Dracula,Columbia Pictures,1992,82522790,215862692,2 hr 8 min,R
Let's Be Cops,Twentieth Century Fox,2014,82390774,138224951,1 hr 44 min,R
Blade II,New Line Cinema,2002,82348319,155010032,1 hr 57 min,R
Beowulf,Paramount Pictures,2007,82280579,196393745,1 hr 55 min,PG-13
Bridge to Terabithia,Walt Disney Studios Motion Pictures,2007,82272442,137587063,1 hr 36 min,NA
The Pink Panther,Sony Pictures Entertainment (SPE),2006,82226474,164115897,1 hr 33 min,PG
Teenage Mutant Ninja Turtles: Out of the Shadows,Paramount Pictures,2016,82051601,245623848,1 hr 52 min,PG-13
The Post,Twentieth Century Fox,2017,81903458,180419276,1 hr 56 min,PG-13
Alien,Twentieth Century Fox,1979,81900459,106285522,1 hr 57 min,R
Maze Runner: The Scorch Trials,Twentieth Century Fox,2015,81697192,312296056,2 hr 11 min,PG-13
Eight Below,Walt Disney Studios Motion Pictures,2006,81612565,120455994,2 hr,PG
MASH,Twentieth Century Fox,1970,81600000,81600000,1 hr 56 min,NA
Unstoppable,Twentieth Century Fox,2010,81562942,167805466,1 hr 38 min,PG-13
Payback,Paramount Pictures,1999,81526121,161626121,1 hr 40 min,R
Ted 2,Universal Pictures,2015,81476385,215863606,1 hr 55 min,R
The Talented Mr. Ripley,Paramount Pictures,1999,81298265,128799509,2 hr 19 min,R
School of Rock,Paramount Pictures,2003,81261177,131095990,1 hr 49 min,PG-13
Snow Dogs,Walt Disney Studios Motion Pictures,2002,81172560,115035090,1 hr 39 min,PG
21,Sony Pictures Entertainment (SPE),2008,81159365,159808370,2 hr 3 min,PG-13
While You Were Sleeping,Walt Disney Studios Motion Pictures,1995,81057016,182057016,1 hr 43 min,PG
Congo,Paramount Pictures,1995,81022101,152022101,1 hr 49 min,NA
The Notebook,New Line Cinema,2004,81001787,117815157,2 hr 3 min,PG-13
Jimmy Neutron: Boy Genius,Paramount Pictures,2001,80936232,102992536,1 hr 22 min,NA
Eat Pray Love,Sony Pictures Entertainment (SPE),2010,80574010,204594016,2 hr 13 min,PG-13
The Texas Chainsaw Massacre,New Line Cinema,2003,80571655,107363905,1 hr 38 min,R
Zookeeper,Sony Pictures Entertainment (SPE),2011,80360843,169852759,1 hr 42 min,PG
